Country,EPI_Score,HDI,Renewable_Energy_Percent,Life_Expectancy_Years
Germany,74.5,0.959,19.3,81.4
United Kingdom,72.6,0.946,14.5,81.3
France,67.0,0.920,19.1,83.3
Sweden,70.3,0.959,50.3,83.3
Finland,73.8,0.948,43.1,81.9
Denmark,67.7,0.962,36.4,81.9
Netherlands,69.9,0.955,12.8,82.2
Spain,65.8,0.918,18.4,83.7
Italy,64.2,0.915,19.7,83.7
Poland,62.3,0.906,16.4,78.6
Czech Republic,64.0,0.915,17.5,79.8
Estonia,75.7,0.905,38.8,79.2
Japan,57.3,0.925,11.5,84.7
South Korea,61.4,0.937,6.7,84.3
Australia,63.1,0.958,12.5,83.9
New Zealand,57.2,0.938,39.2,82.1
China,48.3,0.797,15.9,78.0
Singapore,66.9,0.946,0.6,83.7
Thailand,49.9,0.798,22.5,76.4
United States,57.2,0.938,12.9,79.3
Canada,61.1,0.939,21.7,82.6
Mexico,50.6,0.789,10.4,75.1
Brazil,56.9,0.786,47.5,75.8
Chile,53.0,0.878,29.8,81.2
Colombia,55.9,0.788,31.6,77.7
South Africa,47.9,0.741,10.8,66.1
Morocco,66.9,0.710,9.8,75.3
Israel,64.3,0.919,6.5,82.4
